OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2560732,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Punavirus,Salmonella virus SJ46
OTU_1984796,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Seoulvirus,Salmonella virus SPN3US
OTU_2005701,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus SS3e
OTU_348058,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Salmonella phage epsilon34
OTU_590739,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Salmonella phage g341c
OTU_1168548,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Salmonella phage vB_SemP_Emek
OTU_155148,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Salmonella virus HK620
OTU_12407,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Peduovirus,Salmonella virus PsP3
OTU_1981165,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Diegovirus,Shigella virus 7502Stx
OTU_66284,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Shigella phage SfII
OTU_1407493,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Myoviridae_u_g,Shigella phage SfIV
OTU_1980943,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Muvirus,Shigella virus SfMu
OTU_1981170,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Oslovirus,Shigella virus VASD
OTU_10761,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Lederbergvirus,Shigella virus Sf6
OTU_470865,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Rosenblumvirus,Staphylococcus phage SAP-2
OTU_1732063,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Spbetavirus,Staphylococcus phage SPbeta-like
OTU_1924730,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Herelleviridae,Kayvirus,Staphylococcus virus SA12
OTU_1392231,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Brussowvirus,Streptococcus phage 20617
OTU_1701850,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Streptococcus phage A25
OTU_112023,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus virus 7201
OTU_563769,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Siphoviridae,Siphoviridae_u_g,Stx2-converting phage 1717
OTU_379329,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Traversvirus,Stx2-converting phage 86
OTU_1161906,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Podoviridae_u_g,Weissella phage phiYS61
OTU_2169625,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Svunavirus,Svunavirus_u_s
OTU_186789,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Myoviridae,Punavirus,Punavirus_u_s
OTU_1211417,Viruses,Viruses_u_p,Viruses_u_c,Caudovirales,Podoviridae,Podoviridae_u_g,uncultured crAssphage
